frame_id,timestamp_sec,landmark_type,landmark_id,x,y,z,visibility
58,5.0180000000,left_hand,0,0.6764665246,0.6811876297,0.0000002119,1.0000000000
59,5.1050000000,left_hand,0,0.6821058393,0.6784722805,0.0000002157,1.0000000000
60,5.1920000000,left_hand,0,0.6828425527,0.6839269996,0.0000001965,1.0000000000
61,5.2780000000,left_hand,0,0.6822088957,0.6808049083,0.0000001979,1.0000000000
62,5.3650000000,left_hand,0,0.6782196760,0.6748541594,0.0000001459,1.0000000000
63,5.4510000000,left_hand,0,0.6778811812,0.6729893088,0.0000002045,1.0000000000
64,5.5380000000,left_hand,0,0.6759646535,0.6710958481,0.0000001765,1.0000000000
65,5.6240000000,left_hand,0,0.6776801944,0.6821164489,0.0000001978,1.0000000000
66,5.7110000000,left_hand,0,0.6757726073,0.6792057157,0.0000002303,1.0000000000
67,5.7970000000,left_hand,0,0.6773371100,0.6848709583,0.0000001659,1.0000000000
68,5.8840000000,left_hand,0,0.6818500161,0.6850751638,0.0000002287,1.0000000000
69,5.9700000000,left_hand,0,0.6784144640,0.6840178370,0.0000002407,1.0000000000
70,6.0570000000,left_hand,0,0.6764963269,0.6844174862,0.0000002556,1.0000000000
71,6.1430000000,left_hand,0,0.6800501347,0.6815237403,0.0000002996,1.0000000000
72,6.2300000000,left_hand,0,0.6802178621,0.6789139509,0.0000003531,1.0000000000
73,6.3160000000,left_hand,0,0.6804283857,0.6902291179,0.0000003480,1.0000000000
74,6.4030000000,left_hand,0,0.6821023822,0.6915236712,0.0000002168,1.0000000000
75,6.4890000000,left_hand,0,0.6670606136,0.6861072779,0.0000001018,1.0000000000
76,6.5760000000,left_hand,0,0.6584036946,0.6967233419,0.0000002382,1.0000000000
77,6.6620000000,left_hand,0,0.6528246999,0.7033492923,0.0000001834,1.0000000000
78,6.7490000000,left_hand,0,0.6496153474,0.7098020911,0.0000002245,1.0000000000
79,6.8360000000,left_hand,0,0.6466386318,0.7011038661,0.0000001955,1.0000000000
80,6.9220000000,left_hand,0,0.6507477760,0.7020033598,0.0000002342,1.0000000000
81,7.0090000000,left_hand,0,0.6471655369,0.6831234097,0.0000002185,1.0000000000
82,7.0950000000,left_hand,0,0.3594273925,0.6720865369,0.0000001747,1.0000000000
83,7.1820000000,left_hand,0,0.6447890997,0.6824262142,0.0000001792,1.0000000000
84,7.2680000000,left_hand,0,0.6401259899,0.6702983379,0.0000001779,1.0000000000
85,7.3550000000,left_hand,0,0.6549180746,0.6799218059,0.0000000363,1.0000000000
86,7.4410000000,left_hand,0,0.6551903486,0.6748304367,0.0000002536,1.0000000000
87,7.5280000000,left_hand,0,0.6531953216,0.6719523668,0.0000001813,1.0000000000
88,7.6140000000,left_hand,0,0.6605710983,0.6842792034,0.0000002585,1.0000000000
89,7.7010000000,left_hand,0,0.6597146988,0.6749239564,0.0000002263,1.0000000000
90,7.7870000000,left_hand,0,0.6409189701,0.6792716384,0.0000002144,1.0000000000
91,7.8740000000,left_hand,0,0.6587989330,0.6607701480,-0.0000000296,1.0000000000
92,7.9600000000,left_hand,0,0.6766788960,0.6422686577,-0.0000002735,1.0000000000
93,8.0470000000,left_hand,0,0.6836208105,0.6680334806,0.0000001501,1.0000000000
94,8.1330000000,left_hand,0,0.6864733696,0.6744512916,0.0000001717,1.0000000000
95,8.2200000000,left_hand,0,0.6781563163,0.6771104932,0.0000002009,1.0000000000
96,8.3060000000,left_hand,0,0.6670482159,0.6824739575,0.0000001568,1.0000000000
97,8.3930000000,left_hand,0,0.6597349644,0.6798955202,0.0000000683,1.0000000000
98,8.4800000000,left_hand,0,0.6595768332,0.6857390404,0.0000000836,1.0000000000
99,8.5660000000,left_hand,0,0.6602334976,0.7012475729,0.0000001885,1.0000000000
100,8.6530000000,left_hand,0,0.6528881788,0.7006408572,0.0000002023,1.0000000000
101,8.7390000000,left_hand,0,0.3643549979,0.6708928347,0.0000002152,1.0000000000
102,8.8260000000,left_hand,0,0.3622128963,0.6716002226,0.0000002247,1.0000000000
103,8.9120000000,left_hand,0,0.6594357491,0.6932879090,0.0000000559,1.0000000000
104,8.9990000000,left_hand,0,0.6606022120,0.6890386343,0.0000001538,1.0000000000
105,9.0850000000,left_hand,0,0.6675767899,0.6878407598,-0.0000000773,1.0000000000
106,9.1720000000,left_hand,0,0.6745513678,0.6866428852,-0.0000003083,1.0000000000
107,9.2580000000,left_hand,0,0.6649377346,0.6941776276,0.0000000672,1.0000000000
108,9.3450000000,left_hand,0,0.6666699052,0.6831323504,0.0000002415,1.0000000000
109,9.4310000000,left_hand,0,0.6548831463,0.6823483109,0.0000003566,1.0000000000
110,9.5180000000,left_hand,0,0.6587143540,0.6834827065,0.0000003140,1.0000000000
111,9.6040000000,left_hand,0,0.6497192979,0.6823890209,0.0000003276,1.0000000000
112,9.6910000000,left_hand,0,0.6411485672,0.6648229957,-0.0000000023,1.0000000000
113,9.7770000000,left_hand,0,0.6325778365,0.6472569704,-0.0000003321,1.0000000000
114,9.8640000000,left_hand,0,0.6525930166,0.6747151017,-0.0000002713,1.0000000000
115,9.9500000000,left_hand,0,0.6726081967,0.7021732330,-0.0000002104,1.0000000000
116,10.0370000000,left_hand,0,0.6582292914,0.7102117538,0.0000002661,1.0000000000
117,10.1240000000,left_hand,0,0.6519144177,0.7101696730,0.0000002226,1.0000000000
118,10.2100000000,left_hand,0,0.6491219997,0.7181022763,0.0000003242,1.0000000000
119,10.2970000000,left_hand,0,0.6556876898,0.7073088288,0.0000002225,1.0000000000
120,10.3830000000,left_hand,0,0.6595776081,0.7032930851,0.0000001092,1.0000000000
121,10.4700000000,left_hand,0,0.6591302752,0.7043953538,-0.0000000083,1.0000000000
122,10.5560000000,left_hand,0,0.6438473463,0.7100835443,0.0000001564,1.0000000000
123,10.6430000000,left_hand,0,0.6432998180,0.7085195184,0.0000001276,1.0000000000
124,10.7290000000,left_hand,0,0.6527400613,0.7095943689,0.0000001952,1.0000000000
125,10.8160000000,left_hand,0,0.6561880708,0.7108563185,0.0000000882,1.0000000000
126,10.9020000000,left_hand,0,0.6629213095,0.6697887778,0.0000001834,1.0000000000
127,10.9890000000,left_hand,0,0.6729606986,0.6987673640,0.0000001883,1.0000000000
128,11.0750000000,left_hand,0,0.4837108552,0.8246516585,-0.0000000833,1.0000000000
129,11.1620000000,left_hand,0,0.5441383123,0.8684251308,-0.0000000387,1.0000000000
130,11.2480000000,left_hand,0,0.5890566707,0.8221276999,0.0000000384,1.0000000000
131,11.3350000000,left_hand,0,0.6339750290,0.7758302689,0.0000001155,1.0000000000
132,11.4210000000,left_hand,0,0.5927217722,0.7741083145,0.0000001081,1.0000000000
133,11.5080000000,left_hand,0,0.5514685154,0.7723863602,0.0000001007,1.0000000000
134,11.5940000000,left_hand,0,0.5102152586,0.7706644058,0.0000000933,1.0000000000
135,11.6810000000,left_hand,0,0.4689620018,0.7689424515,0.0000000858,1.0000000000
136,11.7670000000,left_hand,0,0.4277087450,0.7672204971,0.0000000784,1.0000000000
137,11.8540000000,left_hand,0,0.4264387786,0.7548124790,0.0000001200,1.0000000000
138,11.9410000000,left_hand,0,0.4264387786,0.7548124790,0.0000001200,1.0000000000
58,5.0180000000,left_hand,1,0.6489932537,0.6435701251,-0.0033542758,1.0000000000
59,5.1050000000,left_hand,1,0.6511725783,0.6448975205,-0.0026369044,1.0000000000
60,5.1920000000,left_hand,1,0.6508498788,0.6487845182,-0.0026568288,1.0000000000
61,5.2780000000,left_hand,1,0.6481473446,0.6474617124,-0.0040814164,1.0000000000
62,5.3650000000,left_hand,1,0.6462090015,0.6438099146,-0.0054150620,1.0000000000
63,5.4510000000,left_hand,1,0.6453973651,0.6408296824,-0.0050159423,1.0000000000
64,5.5380000000,left_hand,1,0.6440929770,0.6420042515,-0.0070457030,1.0000000000
65,5.6240000000,left_hand,1,0.6444886923,0.6499274969,-0.0048598279,1.0000000000
66,5.7110000000,left_hand,1,0.6416106224,0.6525979638,-0.0024460682,1.0000000000
67,5.7970000000,left_hand,1,0.6470476985,0.6545982361,-0.0078817764,1.0000000000
68,5.8840000000,left_hand,1,0.6492290497,0.6560996175,-0.0075583342,1.0000000000
69,5.9700000000,left_hand,1,0.6443480253,0.6607878208,-0.0039157099,1.0000000000
70,6.0570000000,left_hand,1,0.6429245472,0.6604686975,-0.0042759883,1.0000000000
71,6.1430000000,left_hand,1,0.6461768150,0.6574968696,-0.0094789770,1.0000000000
72,6.2300000000,left_hand,1,0.6473734379,0.6557103395,-0.0100400923,1.0000000000
73,6.3160000000,left_hand,1,0.6509401798,0.6602132320,-0.0071800170,1.0000000000
74,6.4030000000,left_hand,1,0.6574215293,0.6575028300,-0.0046843439,1.0000000000
75,6.4890000000,left_hand,1,0.6422899961,0.6474113464,-0.0054642274,1.0000000000
76,6.5760000000,left_hand,1,0.6339282393,0.6580390334,-0.0100691207,1.0000000000
77,6.6620000000,left_hand,1,0.6249173284,0.6659520864,-0.0074499617,1.0000000000
78,6.7490000000,left_hand,1,0.6243228912,0.6707268357,-0.0101367356,1.0000000000
79,6.8360000000,left_hand,1,0.6194192767,0.6627357006,-0.0108757857,1.0000000000
80,6.9220000000,left_hand,1,0.6228471398,0.6663067341,-0.0119086234,1.0000000000
81,7.0090000000,left_hand,1,0.6188282967,0.6639395952,-0.0118847713,1.0000000000
82,7.0950000000,left_hand,1,0.3664605021,0.7273697257,-0.0114135640,1.0000000000
83,7.1820000000,left_hand,1,0.6192495823,0.6772704124,-0.0125401001,1.0000000000
84,7.2680000000,left_hand,1,0.6146546006,0.6733270884,-0.0092763407,1.0000000000
85,7.3550000000,left_hand,1,0.6273134351,0.6704412103,-0.0070253829,1.0000000000
86,7.4410000000,left_hand,1,0.6268203259,0.6644455791,-0.0105663883,1.0000000000
87,7.5280000000,left_hand,1,0.6254507899,0.6650545597,-0.0080888299,1.0000000000
88,7.6140000000,left_hand,1,0.6363755465,0.6682403684,-0.0093733119,1.0000000000
89,7.7010000000,left_hand,1,0.6385276914,0.6579567790,-0.0088503510,1.0000000000
90,7.7870000000,left_hand,1,0.6255268455,0.6599679589,-0.0052784542,1.0000000000
91,7.8740000000,left_hand,1,0.6381611824,0.6421519816,-0.0076416167,1.0000000000
92,7.9600000000,left_hand,1,0.6507955194,0.6243360043,-0.0100047793,1.0000000000
93,8.0470000000,left_hand,1,0.6639680266,0.6405524611,-0.0030353819,1.0000000000
94,8.1330000000,left_hand,1,0.6706394553,0.6402127147,-0.0078681493,1.0000000000
95,8.2200000000,left_hand,1,0.6647168398,0.6398546100,-0.0120789800,1.0000000000
96,8.3060000000,left_hand,1,0.6462462544,0.6364781260,-0.0046323566,1.0000000000
97,8.3930000000,left_hand,1,0.6353182793,0.6454125643,-0.0090522422,1.0000000000
98,8.4800000000,left_hand,1,0.6325004697,0.6550899148,-0.0068940111,1.0000000000
99,8.5660000000,left_hand,1,0.6366425157,0.6672168970,-0.0079994071,1.0000000000
100,8.6530000000,left_hand,1,0.6307373643,0.6765714288,-0.0033103905,1.0000000000
101,8.7390000000,left_hand,1,0.3715380430,0.7218480110,-0.0108699920,1.0000000000
102,8.8260000000,left_hand,1,0.3968525529,0.6585783362,-0.0067029698,1.0000000000
103,8.9120000000,left_hand,1,0.6332402229,0.6670215130,-0.0029927520,1.0000000000
104,8.9990000000,left_hand,1,0.6361427307,0.6717072725,-0.0027639708,1.0000000000
105,9.0850000000,left_hand,1,0.6451349258,0.6609290838,-0.0054020672,1.0000000000
106,9.1720000000,left_hand,1,0.6541271210,0.6501508951,-0.0080401637,1.0000000000
107,9.2580000000,left_hand,1,0.6387116313,0.6641986370,-0.0093223164,1.0000000000
108,9.3450000000,left_hand,1,0.6398589015,0.6607468128,-0.0055776578,1.0000000000
109,9.4310000000,left_hand,1,0.6286479831,0.6672052145,-0.0064805215,1.0000000000
110,9.5180000000,left_hand,1,0.6344894767,0.6669597030,-0.0076086321,1.0000000000
111,9.6040000000,left_hand,1,0.6265202761,0.6665858030,-0.0074801189,1.0000000000
112,9.6910000000,left_hand,1,0.6280969083,0.6645438373,-0.0109069224,1.0000000000
113,9.7770000000,left_hand,1,0.6296735406,0.6625018716,-0.0143337259,1.0000000000
114,9.8640000000,left_hand,1,0.6407667398,0.6624619365,-0.0147520956,1.0000000000
115,9.9500000000,left_hand,1,0.6518599391,0.6624220014,-0.0151704652,1.0000000000
116,10.0370000000,left_hand,1,0.6376351118,0.6806094050,-0.0076017142,1.0000000000
117,10.1240000000,left_hand,1,0.6276175976,0.6778576374,-0.0097008590,1.0000000000
118,10.2100000000,left_hand,1,0.6223869324,0.6780722141,-0.0130571667,1.0000000000
119,10.2970000000,left_hand,1,0.6269152761,0.6703931093,-0.0125759281,1.0000000000
120,10.3830000000,left_hand,1,0.6308045983,0.6597090364,-0.0106112165,1.0000000000
121,10.4700000000,left_hand,1,0.6279935241,0.6568440199,-0.0090492237,1.0000000000
122,10.5560000000,left_hand,1,0.6166424751,0.6606420875,-0.0081519475,1.0000000000
123,10.6430000000,left_hand,1,0.6113145351,0.6609143615,-0.0049609295,1.0000000000
124,10.7290000000,left_hand,1,0.6185585856,0.6603808403,-0.0077931071,1.0000000000
125,10.8160000000,left_hand,1,0.6238634586,0.6593338847,-0.0056908615,1.0000000000
126,10.9020000000,left_hand,1,0.6327971816,0.6265859008,-0.0093149887,1.0000000000
127,10.9890000000,left_hand,1,0.6596820354,0.6409800053,-0.0187959205,1.0000000000
128,11.0750000000,left_hand,1,0.5021671057,0.8363268971,-0.0040145107,1.0000000000
129,11.1620000000,left_hand,1,0.5691441298,0.9001402855,0.0022925173,1.0000000000
