frame_id,timestamp_sec,landmark_type,landmark_id,x,y,z,visibility
75,5.0050000000,left_hand,0,0.6281617880,0.6233127713,-0.0000001266,1.0000000000
76,5.0720000000,left_hand,0,0.6362196803,0.6255981922,-0.0000001439,1.0000000000
77,5.1380000000,left_hand,0,0.6232660413,0.6266902685,-0.0000001088,1.0000000000
78,5.2050000000,left_hand,0,0.6291404963,0.6209561825,-0.0000001273,1.0000000000
79,5.2720000000,left_hand,0,0.6312611699,0.6197144985,-0.0000001109,1.0000000000
80,5.3390000000,left_hand,0,0.6304175258,0.6206043959,-0.0000001189,1.0000000000
81,5.4050000000,left_hand,0,0.6272432208,0.6271603703,-0.0000001221,1.0000000000
82,5.4720000000,left_hand,0,0.6231944561,0.6207101345,-0.0000001201,1.0000000000
83,5.5390000000,left_hand,0,0.6349110603,0.6174482703,-0.0000001348,1.0000000000
84,5.6060000000,left_hand,0,0.6290783286,0.6167710423,-0.0000001375,1.0000000000
85,5.6720000000,left_hand,0,0.6185495853,0.6100082397,-0.0000001272,1.0000000000
86,5.7390000000,left_hand,0,0.6010231376,0.6106006801,-0.0000002113,1.0000000000
87,5.8060000000,left_hand,0,0.5834966898,0.6111931205,-0.0000002954,1.0000000000
88,5.8730000000,left_hand,0,0.5861173868,0.6181617975,-0.0000002933,1.0000000000
89,5.9390000000,left_hand,0,0.5875710249,0.6109995246,-0.0000002799,1.0000000000
90,6.0060000000,left_hand,0,0.5909870267,0.6164477468,-0.0000002935,1.0000000000
91,6.0730000000,left_hand,0,0.5901845694,0.6214879751,-0.0000003096,1.0000000000
92,6.1390000000,left_hand,0,0.5837443471,0.6160766482,-0.0000003015,1.0000000000
93,6.2060000000,left_hand,0,0.5936539769,0.6196917295,-0.0000002927,1.0000000000
94,6.2730000000,left_hand,0,0.5911613703,0.6166248322,-0.0000002862,1.0000000000
95,6.3400000000,left_hand,0,0.5826478601,0.6114897132,-0.0000002856,1.0000000000
96,6.4060000000,left_hand,0,0.5871314406,0.6140900850,-0.0000002875,1.0000000000
97,6.4730000000,left_hand,0,0.5871696472,0.6139634252,-0.0000002824,1.0000000000
98,6.5400000000,left_hand,0,0.5883779526,0.6145957112,-0.0000002940,1.0000000000
99,6.6070000000,left_hand,0,0.5917000771,0.6145642400,-0.0000002803,1.0000000000
100,6.6730000000,left_hand,0,0.5838749409,0.6139949560,-0.0000003138,1.0000000000
101,6.7400000000,left_hand,0,0.5871994495,0.6127489805,-0.0000003051,1.0000000000
102,6.8070000000,left_hand,0,0.5887801051,0.6148524880,-0.0000002695,1.0000000000
103,6.8740000000,left_hand,0,0.5880971551,0.6183195114,-0.0000002929,1.0000000000
104,6.9400000000,left_hand,0,0.5844956040,0.6112920642,-0.0000002882,1.0000000000
105,7.0070000000,left_hand,0,0.5917249322,0.6220887303,-0.0000003006,1.0000000000
106,7.0740000000,left_hand,0,0.5771781802,0.6108083725,-0.0000002766,1.0000000000
107,7.1400000000,left_hand,0,0.5864313245,0.6124588847,-0.0000002791,1.0000000000
108,7.2070000000,left_hand,0,0.5936606526,0.6107144952,-0.0000002872,1.0000000000
109,7.2740000000,left_hand,0,0.5995496511,0.6120107770,-0.0000002820,1.0000000000
110,7.3410000000,left_hand,0,0.5926915407,0.6097763181,-0.0000002753,1.0000000000
111,7.4070000000,left_hand,0,0.5929184556,0.6049181819,-0.0000002703,1.0000000000
112,7.4740000000,left_hand,0,0.5954456329,0.6080694199,-0.0000002675,1.0000000000
113,7.5410000000,left_hand,0,0.5970114470,0.6161925793,-0.0000002796,1.0000000000
114,7.6080000000,left_hand,0,0.6065136194,0.6240302920,-0.0000002789,1.0000000000
115,7.6740000000,left_hand,0,0.6142370105,0.6171244383,-0.0000002332,1.0000000000
116,7.7410000000,left_hand,0,0.6169524193,0.6138371229,-0.0000002248,1.0000000000
117,7.8080000000,left_hand,0,0.6155060530,0.6152001023,-0.0000002162,1.0000000000
118,7.8750000000,left_hand,0,0.6176314950,0.6108680367,-0.0000002025,1.0000000000
119,7.9410000000,left_hand,0,0.6207687855,0.6141748428,-0.0000001767,1.0000000000
120,8.0080000000,left_hand,0,0.6178477407,0.6034354568,-0.0000001452,1.0000000000
121,8.0750000000,left_hand,0,0.6270286441,0.6053012013,-0.0000001899,1.0000000000
122,8.1410000000,left_hand,0,0.6228473783,0.6043432951,-0.0000001588,1.0000000000
123,8.2080000000,left_hand,0,0.6198384762,0.6049006581,-0.0000001857,1.0000000000
124,8.2750000000,left_hand,0,0.6270161867,0.6055867672,-0.0000001821,1.0000000000
125,8.3420000000,left_hand,0,0.6256557703,0.6100174785,-0.0000001729,1.0000000000
126,8.4080000000,left_hand,0,0.6191648245,0.6093219519,-0.0000001792,1.0000000000
127,8.4750000000,left_hand,0,0.6266452670,0.5996447206,-0.0000001812,1.0000000000
128,8.5420000000,left_hand,0,0.6279591322,0.6030510664,-0.0000001538,1.0000000000
129,8.6090000000,left_hand,0,0.6245556474,0.6085637808,-0.0000001763,1.0000000000
