frame_id,timestamp_sec,landmark_type,landmark_id,x,y,z,visibility
75,5.0000000000,left_hand,0,0.5949980617,0.6050868034,-0.0000001045,1.0000000000
76,5.0670000000,left_hand,0,0.5970549583,0.6041584611,-0.0000000603,1.0000000000
77,5.1330000000,left_hand,0,0.6014086008,0.6084340215,-0.0000000266,1.0000000000
78,5.2000000000,left_hand,0,0.6080242395,0.5992639661,-0.0000000247,1.0000000000
79,5.2670000000,left_hand,0,0.6092511415,0.5938762426,-0.0000000036,1.0000000000
80,5.3330000000,left_hand,0,0.6152513027,0.5861637592,-0.0000000605,1.0000000000
81,5.4000000000,left_hand,0,0.6158626080,0.5903393030,-0.0000000186,1.0000000000
82,5.4670000000,left_hand,0,0.6141210794,0.5945016742,-0.0000000331,1.0000000000
83,5.5330000000,left_hand,0,0.6051692367,0.6061535478,0.0000000271,1.0000000000
84,5.6000000000,left_hand,0,0.6000573635,0.6095307469,-0.0000000298,1.0000000000
85,5.6670000000,left_hand,0,0.6012573242,0.6099002361,-0.0000000578,1.0000000000
86,5.7330000000,left_hand,0,0.6022878885,0.6052023768,-0.0000000353,1.0000000000
87,5.8000000000,left_hand,0,0.6041533351,0.5990539789,-0.0000000526,1.0000000000
88,5.8670000000,left_hand,0,0.6053838730,0.5913842916,-0.0000000333,1.0000000000
89,5.9330000000,left_hand,0,0.6048772931,0.5872254968,-0.0000000646,1.0000000000
90,6.0000000000,left_hand,0,0.6055352688,0.5841519833,-0.0000000473,1.0000000000
91,6.0670000000,left_hand,0,0.6079743505,0.5818238258,-0.0000000658,1.0000000000
92,6.1330000000,left_hand,0,0.6089995503,0.5752102137,-0.0000000449,1.0000000000
93,6.2000000000,left_hand,0,0.6118847132,0.5723473430,-0.0000000396,1.0000000000
94,6.2670000000,left_hand,0,0.6183336377,0.5671885014,-0.0000000454,1.0000000000
95,6.3330000000,left_hand,0,0.6242552996,0.5614410043,-0.0000000406,1.0000000000
96,6.4000000000,left_hand,0,0.6258235574,0.5609283447,-0.0000000284,1.0000000000
